# frothseg.bsd/v1 count=148 d10=9.49 d50=15.08 d90=27.54 d32=26.0 pctSmall=0.047
id,area_px,d_eq_px,ecc,solidity
1,143,13.493,0.6498,0.8882
2,91,10.764,0.8039,0.6276
3,178,15.054,0.5594,0.9175
4,63,8.956,0.7754,0.9
5,203,16.077,0.7845,0.9355
6,1904,49.237,0.4314,0.985
7,131,12.915,0.9044,0.9632
8,449,23.91,0.4976,0.974
9,32,6.383,0.904,0.9412
10,90,10.705,0.5087,0.7258
11,387,22.198,0.619,0.9393
12,75,9.772,0.7625,0.5906
13,71,9.508,0.5714,0.9103
14,274,18.678,0.6744,0.932
15,129,12.816,0.6128,0.75
16,408,22.792,0.2941,0.7365
17,153,13.957,0.9066,0.9107
18,558,26.655,0.4722,0.9103
19,51,8.058,0.725,0.68
20,201,15.998,0.7103,0.7791
21,81,10.155,0.9117,0.7232
22,266,18.403,0.6035,0.875
23,36,6.77,0.3825,0.9231
24,571,26.963,0.333,0.9613
25,74,9.707,0.5319,0.6549
26,450,23.937,0.6815,0.9574
27,177,15.012,0.4216,0.8985
28,626,28.232,0.6499,0.9631
29,788,31.675,0.4432,0.9669
30,116,12.153,0.6435,0.8467
31,258,18.124,0.382,0.9085
32,436,23.561,0.5458,0.9336
33,82,10.218,0.9297,0.9011
34,306,19.739,0.8729,0.9563
35,729,30.466,0.6144,0.972
36,233,17.224,0.4796,0.7872
37,39,7.047,0.9846,0.2889
38,191,15.595,0.6577,0.8802
39,827,32.449,0.3663,0.9661
40,171,14.755,0.3249,0.788
41,119,12.309,0.3612,0.937
42,134,13.062,0.308,0.9437
43,327,20.405,0.7021,0.9506
44,680,29.425,0.6059,0.9551
45,95,10.998,0.8048,0.6291
46,303,19.642,0.8535,0.941
47,131,12.915,0.6296,0.712
48,29,6.077,0.6257,0.8788
49,470,24.463,0.2326,0.9533
50,158,14.184,0.3571,0.8449
51,90,10.705,0.6703,0.8491
52,179,15.097,0.4533,0.9521
53,76,9.837,0.6887,0.6847
54,402,22.624,0.5603,0.9549
55,69,9.373,0.6636,0.8846
56,1305,40.762,0.3485,0.9746
57,351,21.14,0.5276,0.9643
58,146,13.634,0.6092,0.8295
59,163,14.406,0.7217,0.8859
60,66,9.167,0.8366,0.4853
61,390,22.284,0.5377,0.9677
62,329,20.467,0.5636,0.9648
63,86,10.464,0.8881,0.7748
64,186,15.389,0.5631,0.9163
65,428,23.344,0.803,0.9126
66,539,26.197,0.527,0.9659
67,88,10.585,0.911,0.8713
68,105,11.562,0.2726,0.9722
69,157,14.139,0.7805,0.9181
70,467,24.384,0.4198,0.9709
71,350,21.11,0.6839,0.9211
72,256,18.054,0.4973,0.9309
73,139,13.303,0.8213,0.8742
74,100,11.284,0.5733,0.4032
75,108,11.726,0.8667,0.9
76,174,14.884,0.8394,0.7768
77,130,12.866,0.8223,0.8553
78,216,16.584,0.8141,0.8963
79,70,9.441,0.8477,0.875
80,101,11.34,0.5263,0.8347
81,74,9.707,0.8143,0.961
82,112,11.942,0.5945,0.9256
83,195,15.757,0.6865,0.933
84,397,22.483,0.5434,0.9341
85,203,16.077,0.8462,0.9486
86,579,27.152,0.879,0.9715
87,164,14.45,0.7974,0.8542
88,334,20.622,0.8869,0.9625
89,140,13.351,0.7902,0.8589
90,90,10.705,0.5428,0.8654
91,269,18.507,0.3163,0.9119
92,88,10.585,0.8131,0.4074
93,811,32.134,0.5176,0.9666
94,993,35.557,0.5945,0.9669
95,187,15.43,0.3203,0.8578
96,78,9.966,0.9716,0.8667
97,525,25.854,0.6614,0.9409
98,107,11.672,0.7987,0.964
99,354,21.23,0.7154,0.944
100,165,14.494,0.8932,0.4688
101,337,20.714,0.5759,0.9712
102,496,25.13,0.6086,0.9669
103,2129,52.065,0.3887,0.9757
104,123,12.514,0.7157,0.6
105,588,27.362,0.5572,0.9751
106,210,16.352,0.6432,0.913
107,290,19.216,0.3769,0.9539
108,1123,37.813,0.6594,0.9698
109,80,10.093,0.7409,0.7339
110,49,7.899,0.2859,0.9423
111,222,16.812,0.2958,0.9694
112,165,14.494,0.5557,0.9483
113,1321,41.012,0.5359,0.9763
114,86,10.464,0.7203,0.8776
115,191,15.595,0.4335,0.955
116,646,28.679,0.4578,0.9685
117,172,14.799,0.7226,0.8731
118,212,16.429,0.9433,0.8908
119,164,14.45,0.6492,0.8
120,514,25.582,0.6198,0.9735
121,124,12.565,0.7418,0.8552
122,147,13.681,0.6406,0.9018
123,552,26.511,0.4962,0.9684
124,23,5.412,0.4776,0.9583
125,153,13.957,0.8392,0.827
126,71,9.508,0.8873,0.5635
127,142,13.446,0.5528,0.7245
128,492,25.029,0.4844,0.9723
129,256,18.054,0.6007,0.9275
130,53,8.215,0.5131,0.726
131,194,15.717,0.473,0.9194
132,42,7.313,0.7743,0.7778
133,436,23.561,0.7311,0.916
134,521,25.756,0.6875,0.9613
135,343,20.898,0.528,0.9635
136,636,28.457,0.4909,0.9695
137,229,17.075,0.5659,0.9622
138,30,6.18,0.342,0.9375
139,181,15.181,0.8137,0.8786
140,199,15.918,0.646,0.9387
141,614,27.96,0.5181,0.9505
142,170,14.712,0.5783,0.977
143,69,9.373,0.551,0.3053
144,90,10.705,0.7499,0.625
145,105,11.562,0.9309,0.9211
146,110,11.835,0.5197,0.873
147,477,24.644,0.122,0.9656
148,103,11.452,0.4632,0.8957
