# frothseg.bsd/v1 count=68 d10=20.54 d50=29.33 d90=45.73 d32=39.51 pctSmall=0.015
id,area_px,d_eq_px,ecc,solidity
1,470,24.463,0.9143,0.9671
2,600,27.64,0.9044,0.9677
3,304,19.674,0.7099,0.9212
4,1166,38.53,0.5333,0.9613
5,894,33.738,0.5974,0.9634
6,1051,36.581,0.5447,0.9687
7,3937,70.801,0.3203,0.9867
8,858,33.052,0.6184,0.9206
9,490,24.978,0.8504,0.9627
10,859,33.071,0.3345,0.9357
11,1513,43.891,0.7385,0.9863
12,665,29.098,0.7132,0.9406
13,817,32.253,0.6,0.9284
14,1756,47.284,0.5821,0.9707
15,1547,44.381,0.606,0.9681
16,417,23.042,0.7301,0.9434
17,3084,62.663,0.4919,0.9787
18,1249,39.878,0.3714,0.9705
19,461,24.227,0.7361,0.9767
20,974,35.216,0.7731,0.9484
21,2102,51.733,0.7669,0.9845
22,556,26.607,0.6662,0.9345
23,556,26.607,0.4965,0.9456
24,367,21.617,0.858,0.9709
25,1915,49.379,0.3851,0.9701
26,1015,35.949,0.5952,0.9685
27,1405,42.295,0.6471,0.9643
28,1033,36.266,0.9163,0.9791
29,495,25.105,0.5339,0.8291
30,1597,45.093,0.6343,0.9691
31,570,26.94,0.562,0.9179
32,724,30.362,0.6179,0.9489
33,686,29.554,0.5656,0.905
34,885,33.568,0.6995,0.9779
35,494,25.079,0.3084,0.9744
36,2053,51.127,0.4701,0.9725
37,237,17.371,0.5216,0.9151
38,1018,36.002,0.8243,0.9807
39,798,31.875,0.2798,0.9791
40,1416,42.461,0.6509,0.9719
41,623,28.164,0.7924,0.9439
42,357,21.32,0.4882,0.8903
43,261,18.23,0.8636,0.6868
44,905,33.945,0.5648,0.9721
45,543,26.294,0.5472,0.9628
46,343,20.898,0.8001,0.8772
47,1752,47.23,0.5414,0.9723
48,968,35.107,0.4762,0.9641
49,399,22.539,0.6347,0.5223
50,866,33.206,0.6115,0.9601
51,335,20.653,0.8766,0.949
52,709,30.045,0.5026,0.9479
53,813,32.174,0.2596,0.9531
54,751,30.923,0.526,0.9447
55,399,22.539,0.7515,0.9388
56,597,27.57,0.7941,0.9372
57,1300,40.684,0.47,0.968
58,197,15.838,0.7228,0.961
59,302,19.609,0.8906,0.9467
60,362,21.469,0.809,0.838
61,448,23.883,0.8733,0.9676
62,414,22.959,0.9443,0.9539
63,333,20.591,0.7951,0.9224
64,535,26.099,0.4862,0.9402
65,494,25.079,0.5115,0.9182
66,113,11.995,0.8643,0.9496
67,626,28.232,0.8451,0.9414
68,328,20.436,0.7976,0.87
