# frothseg.bsd/v1 count=170 d10=9.6 d50=17.32 d90=26.81 d32=28.46 pctSmall=0.053
id,area_px,d_eq_px,ecc,solidity
1,3238,64.209,0.4058,0.9812
2,167,14.582,0.7397,0.9076
3,1185,38.843,0.615,0.9729
4,113,11.995,0.7463,0.3937
5,323,20.279,0.3682,0.9671
6,697,29.79,0.6282,0.9232
7,63,8.956,0.7541,0.7412
8,204,16.116,0.571,0.8293
9,465,24.332,0.2287,0.9136
10,2070,51.338,0.4679,0.9737
11,188,15.472,0.4478,0.8139
12,603,27.709,0.5817,0.9617
13,157,14.139,0.621,0.9181
14,398,22.511,0.7753,0.959
15,2096,51.66,0.5489,0.9776
16,429,23.371,0.8359,0.975
17,67,9.236,0.81,0.859
18,109,11.781,0.5965,0.4823
19,77,9.901,0.5812,0.875
20,205,16.156,0.3531,0.8761
21,67,9.236,0.9081,0.7791
22,1446,42.908,0.7268,0.9783
23,333,20.591,0.6495,0.9569
24,1796,47.82,0.672,0.9814
25,287,19.116,0.7223,0.7736
26,342,20.867,0.6633,0.9661
27,220,16.737,0.7048,0.9322
28,401,22.596,0.7699,0.9458
29,524,25.83,0.7371,0.9458
30,384,22.112,0.4945,0.9697
31,148,13.727,0.7164,0.9427
32,80,10.093,0.8619,0.7619
33,368,21.646,0.7508,0.8867
34,602,27.686,0.4474,0.9601
35,491,25.003,0.5258,0.9627
36,98,11.17,0.6839,0.8448
37,425,23.262,0.8725,0.9884
38,349,21.08,0.701,0.845
39,64,9.027,0.9296,0.8649
40,328,20.436,0.7118,0.948
41,163,14.406,0.8315,0.7725
42,956,34.889,0.3388,0.9666
43,364,21.528,0.4921,0.9681
44,49,7.899,0.8594,0.9423
45,155,14.048,0.7423,0.8516
46,265,18.369,0.5417,0.9672
47,282,18.949,0.8884,0.7032
48,17,4.652,0.692,0.9444
49,507,25.407,0.8558,0.9584
50,189,15.513,0.5389,0.9643
51,169,14.669,0.3866,0.9135
52,59,8.667,0.822,0.7662
53,463,24.28,0.5299,0.9391
54,441,23.696,0.2847,0.9671
55,389,22.255,0.8183,0.9373
56,75,9.772,0.6866,0.8523
57,1070,36.91,0.5606,0.9588
58,93,10.882,0.7466,0.8532
59,136,13.159,0.8754,0.6667
60,282,18.949,0.4763,0.9156
61,216,16.584,0.6185,0.931
62,331,20.529,0.4964,0.9511
63,419,23.097,0.4103,0.9189
64,1079,37.065,0.5343,0.9677
65,306,19.739,0.8369,0.9563
66,80,10.093,0.6057,0.9302
67,120,12.361,0.8823,0.8889
68,151,13.866,0.8825,0.9096
69,76,9.837,0.6848,0.8941
70,163,14.406,0.8154,0.9056
71,300,19.544,0.5647,0.9375
72,67,9.236,0.8032,0.971
73,618,28.051,0.7095,0.9702
74,67,9.236,0.6732,0.4926
75,211,16.391,0.85,0.759
76,490,24.978,0.3396,0.9589
77,338,20.745,0.4372,0.9575
78,182,15.223,0.7357,0.9381
79,54,8.292,0.8451,0.9474
80,94,10.94,0.632,0.7966
81,570,26.94,0.6694,0.9596
82,44,7.485,0.8641,0.898
83,306,19.739,0.3436,0.9273
84,13,4.068,0.9756,0.8125
85,469,24.437,0.8686,0.969
86,197,15.838,0.7469,0.9426
87,254,17.983,0.2731,0.8383
88,254,17.983,0.7218,0.9442
89,324,20.311,0.6708,0.973
90,120,12.361,0.3339,0.7186
91,77,9.901,0.8357,0.5789
92,252,17.912,0.6711,0.9368
93,317,20.09,0.546,0.952
94,56,8.444,0.7842,0.8485
95,174,14.884,0.5067,0.9613
96,239,17.444,0.5139,0.9264
97,50,7.979,0.7502,0.8333
98,908,34.001,0.2578,0.966
99,165,14.494,0.7111,0.9066
100,265,18.369,0.8998,0.9107
101,95,10.998,0.8076,0.8636
102,506,25.382,0.8149,0.9787
103,204,16.116,0.7857,0.9189
104,300,19.544,0.7457,0.9709
105,227,17.001,0.648,0.7909
106,140,13.351,0.8037,0.8537
107,324,20.311,0.6457,0.9391
108,444,23.776,0.1316,0.9487
109,211,16.391,0.8282,0.8373
110,53,8.215,0.9141,0.8689
111,208,16.274,0.3496,0.9455
112,193,15.676,0.3973,0.9602
113,548,26.415,0.7028,0.9665
114,182,15.223,0.597,0.9055
115,132,12.964,0.7428,0.88
116,668,29.164,0.486,0.957
117,307,19.771,0.4201,0.9388
118,258,18.124,0.5779,0.9149
119,416,23.015,0.9102,0.8908
120,369,21.675,0.5393,0.9486
121,300,19.544,0.8227,0.9404
122,368,21.646,0.6966,0.9509
123,84,10.342,0.8763,0.7925
124,353,21.2,0.627,0.8959
125,304,19.674,0.856,0.9441
126,206,16.195,0.4049,0.9406
127,113,11.995,0.9331,0.9262
128,73,9.641,0.69,0.7684
129,112,11.942,0.8507,0.8819
130,164,14.45,0.8375,0.9425
131,42,7.313,0.8589,0.4884
132,481,24.747,0.2925,0.9639
133,201,15.998,0.5966,0.9526
134,234,17.261,0.8974,0.9249
135,292,19.282,0.6568,0.8665
136,321,20.217,0.83,0.8992
137,114,12.048,0.9245,0.9344
138,564,26.798,0.5519,0.9527
139,407,22.764,0.4858,0.9532
140,237,17.371,0.8135,0.8495
141,191,15.595,0.6115,0.9455
142,193,15.676,0.5417,0.9415
143,339,20.776,0.7748,0.9576
144,353,21.2,0.5947,0.9339
145,531,26.002,0.5191,0.9077
146,99,11.227,0.6629,0.8684
147,275,18.712,0.3611,0.9549
148,166,14.538,0.7502,0.8783
149,376,21.88,0.3632,0.9447
150,216,16.584,0.8335,0.8889
151,332,20.56,0.3961,0.9352
152,324,20.311,0.7082,0.9257
153,291,19.249,0.6861,0.9448
154,217,16.622,0.7663,0.9313
155,148,13.727,0.6841,0.9867
156,301,19.577,0.5319,0.9262
157,1365,41.689,0.3271,0.9695
158,218,16.66,0.7013,0.7927
159,351,21.14,0.6426,0.9616
160,62,8.885,0.3595,0.9394
161,169,14.669,0.6251,0.8989
162,134,13.062,0.8406,0.9116
163,190,15.554,0.6961,0.8879
164,130,12.866,0.7433,0.8442
165,198,15.878,0.6051,0.9565
166,187,15.43,0.5822,0.935
167,205,16.156,0.6943,0.8798
168,122,12.463,0.7021,0.9242
169,267,18.438,0.472,0.9368
170,99,11.227,0.666,0.9612
