# frothseg.bsd/v1 count=274 d10=7.74 d50=12.23 d90=21.4 d32=19.27 pctSmall=0.047
id,area_px,d_eq_px,ecc,solidity
1,39,7.047,0.7027,0.8125
2,181,15.181,0.8298,0.9577
3,61,8.813,0.8287,0.8026
4,166,14.538,0.5205,0.9432
5,56,8.444,0.4103,0.8889
6,1109,37.577,0.5484,0.9703
7,66,9.167,0.7681,0.3158
8,156,14.093,0.5803,0.9689
9,115,12.101,0.5108,0.8582
10,1228,39.542,0.6379,0.9692
11,155,14.048,0.8989,0.8333
12,47,7.736,0.6159,0.9592
13,98,11.17,0.6767,0.8673
14,54,8.292,0.8372,0.8852
15,31,6.283,0.8988,0.775
16,133,13.013,0.1202,0.9568
17,38,6.956,0.3614,0.8261
18,308,19.803,0.4936,0.9477
19,24,5.528,0.377,0.9231
20,148,13.727,0.6648,0.9487
21,234,17.261,0.5029,0.936
22,248,17.77,0.5351,0.9151
23,713,30.13,0.4143,0.9794
24,173,14.842,0.2182,0.983
25,328,20.436,0.5785,0.9535
26,65,9.097,0.8125,0.8442
27,829,32.489,0.6095,0.9617
28,19,4.918,0.7689,0.9048
29,227,17.001,0.601,0.7592
30,56,8.444,0.7385,0.875
31,382,22.054,0.4053,0.9646
32,55,8.368,0.4436,0.7971
33,165,14.494,0.7784,0.8639
34,175,14.927,0.6052,0.9211
35,78,9.966,0.6806,0.963
36,123,12.514,0.5151,0.9318
37,108,11.726,0.8213,0.9391
38,76,9.837,0.4636,0.9383
39,78,9.966,0.9179,0.9286
40,173,14.842,0.6742,0.848
41,740,30.695,0.3233,0.9661
42,66,9.167,0.2471,0.9565
43,303,19.642,0.6601,0.9381
44,27,5.863,0.8371,0.7105
45,60,8.74,0.7238,0.7143
46,163,14.406,0.6234,0.9106
47,275,18.712,0.5597,0.9582
48,105,11.562,0.5979,0.9052
49,156,14.093,0.7197,0.9176
50,33,6.482,0.2794,0.9167
51,59,8.667,0.4487,0.8939
52,220,16.737,0.6779,0.9649
53,153,13.957,0.3613,0.9217
54,155,14.048,0.4995,0.775
55,24,5.528,0.5845,0.8276
56,628,28.277,0.4753,0.9544
57,489,24.952,0.5963,0.9741
58,168,14.625,0.7085,0.8155
59,254,17.983,0.4985,0.9549
60,44,7.485,0.9224,0.8462
61,278,18.814,0.6421,0.9553
62,145,13.587,0.6526,0.9603
63,104,11.507,0.3216,0.9286
64,21,5.171,0.0,1.0
65,96,11.056,0.6477,0.8496
66,60,8.74,0.6636,0.6897
67,379,21.967,0.5649,0.9358
68,122,12.463,0.8306,0.8414
69,671,29.229,0.5759,0.9613
70,170,14.712,0.9108,0.8947
71,68,9.305,0.4747,0.8608
72,418,23.07,0.6605,0.9744
73,441,23.696,0.5287,0.9629
74,156,14.093,0.7832,0.907
75,76,9.837,0.8124,0.8
76,219,16.698,0.497,0.944
77,325,20.342,0.543,0.9448
78,230,17.113,0.6565,0.9274
79,49,7.899,0.7816,0.8909
80,45,7.569,0.8212,0.8333
81,23,5.412,0.8598,0.8214
82,25,5.642,0.6925,0.7353
83,63,8.956,0.3054,0.913
84,332,20.56,0.7278,0.9274
85,479,24.696,0.6204,0.9776
86,113,11.995,0.119,0.9113
87,71,9.508,0.6267,0.9467
88,386,22.169,0.3078,0.9602
89,206,16.195,0.3755,0.9493
90,307,19.771,0.4781,0.9624
92,109,11.781,0.5697,0.8934
93,537,26.148,0.735,0.9211
94,59,8.667,0.1787,0.9365
95,180,15.139,0.8454,0.9524
96,80,10.093,0.509,0.8333
97,175,14.927,0.6359,0.7642
98,91,10.764,0.8029,0.8505
99,139,13.303,0.5735,0.8424
100,71,9.508,0.6408,0.9467
101,496,25.13,0.3103,0.9594
102,129,12.816,0.5781,0.8063
103,69,9.373,0.7215,0.8846
104,94,10.94,0.6437,0.94
105,324,20.311,0.659,0.9759
106,93,10.882,0.5226,0.9208
107,77,9.901,0.715,0.875
108,47,7.736,0.8546,0.5465
109,222,16.812,0.5324,0.7093
110,166,14.538,0.4561,0.7186
111,47,7.736,0.9686,0.8246
112,196,15.797,0.5995,0.9469
113,368,21.646,0.8197,0.9509
114,125,12.616,0.86,0.9615
115,367,21.617,0.5903,0.8929
116,117,12.205,0.4894,0.45
117,177,15.012,0.5596,0.9568
118,345,20.959,0.502,0.9031
119,256,18.054,0.3455,0.9446
120,289,19.182,0.4097,0.9633
121,34,6.58,0.9374,0.9189
122,187,15.43,0.8722,0.935
123,105,11.562,0.5926,0.9459
124,94,10.94,0.8069,0.7966
125,73,9.641,0.4064,0.9481
126,185,15.348,0.4769,0.8894
127,64,9.027,0.7784,0.9275
128,173,14.842,0.4145,0.9301
129,159,14.228,0.8285,0.8883
130,145,13.587,0.7798,0.858
131,57,8.519,0.7776,0.8769
132,104,11.507,0.6264,0.9204
133,105,11.562,0.2726,0.9722
134,88,10.585,0.6497,0.9167
135,505,25.357,0.4342,0.9712
136,1082,37.117,0.3161,0.9748
137,98,11.17,0.8119,0.7313
138,125,12.616,0.6996,0.9058
139,86,10.464,0.91,0.8037
