# frothseg.bsd/v1 count=593 d10=6.28 d50=9.9 d90=15.43 d32=12.92 pctSmall=0.01
id,area_px,d_eq_px,ecc,solidity
1,227,17.001,0.5128,0.9498
2,26,5.754,0.7536,0.7647
3,187,15.43,0.5653,0.9444
4,41,7.225,0.7864,0.8542
5,90,10.705,0.8778,0.9677
6,33,6.482,0.7259,0.8462
7,45,7.569,0.6,0.9
8,49,7.899,0.6265,0.9245
9,33,6.482,0.7185,0.8684
10,111,11.888,0.6421,0.9407
11,34,6.58,0.6393,0.7083
12,28,5.971,0.7927,0.8235
13,54,8.292,0.8077,0.9153
14,157,14.139,0.5576,0.9235
15,64,9.027,0.5914,0.8421
16,164,14.45,0.9172,0.948
17,97,11.113,0.6523,0.9238
18,67,9.236,0.7598,0.9437
19,81,10.155,0.9025,0.9878
20,96,11.056,0.4723,0.96
21,41,7.225,0.5864,0.8913
22,71,9.508,0.7288,0.703
23,75,9.772,0.5062,0.9494
24,352,21.17,0.4162,0.9644
25,96,11.056,0.7661,0.8972
26,130,12.866,0.5568,0.9091
27,63,8.956,0.7137,0.7683
28,92,10.823,0.5775,0.902
29,92,10.823,0.6199,0.9293
30,318,20.122,0.3522,0.9464
31,303,19.642,0.5071,0.9469
32,62,8.885,0.6641,0.8857
33,129,12.816,0.6027,0.9348
34,82,10.218,0.4718,0.9647
35,65,9.097,0.3018,0.942
36,70,9.441,0.7599,0.8974
37,66,9.167,0.6408,0.9429
38,91,10.764,0.7499,0.8922
39,140,13.351,0.677,0.915
40,35,6.676,0.8917,0.9211
41,219,16.698,0.4767,0.9163
42,46,7.653,0.5248,0.9388
43,95,10.998,0.7226,0.8962
44,103,11.452,0.5091,0.8879
45,28,5.971,0.7053,0.6512
46,165,14.494,0.5918,0.9706
47,167,14.582,0.6338,0.9176
48,302,19.609,0.4566,0.9587
49,85,10.403,0.6585,0.9043
50,163,14.406,0.5617,0.9422
51,164,14.45,0.612,0.9704
52,35,6.676,0.9482,0.875
53,114,12.048,0.5149,0.9194
54,26,5.754,0.7723,0.8966
55,152,13.912,0.2059,0.962
56,194,15.717,0.5532,0.9652
57,129,12.816,0.5357,0.9416
58,26,5.754,0.5541,0.9286
59,284,19.016,0.4871,0.9726
60,146,13.634,0.3632,0.9012
61,186,15.389,0.3277,0.9394
62,52,8.137,0.7164,0.9123
63,57,8.519,0.5997,0.9048
64,450,23.937,0.3847,0.9574
65,70,9.441,0.5823,0.8861
66,90,10.705,0.4524,0.8411
67,30,6.18,0.7665,0.8108
68,177,15.012,0.6365,0.9267
69,31,6.283,0.7575,0.8611
70,83,10.28,0.3028,0.954
71,43,7.399,0.2274,0.8776
72,207,16.235,0.8878,0.9718
73,179,15.097,0.2888,0.9471
74,80,10.093,0.8306,0.9302
75,122,12.463,0.3292,0.9242
76,83,10.28,0.7135,0.9121
77,68,9.305,0.4757,0.9315
78,79,10.029,0.6288,0.8977
79,327,20.405,0.5304,0.9424
80,87,10.525,0.504,0.9457
81,92,10.823,0.5473,0.8762
82,124,12.565,0.6032,0.9394
83,285,19.049,0.305,0.9344
84,121,12.412,0.5199,0.9758
85,39,7.047,0.4772,0.7647
86,124,12.565,0.3862,0.9538
87,90,10.705,0.678,0.9184
88,38,6.956,0.785,0.8444
89,52,8.137,0.7312,0.8525
90,125,12.616,0.4917,0.9259
91,64,9.027,0.8389,0.8649
92,337,20.714,0.2598,0.974
93,129,12.816,0.4877,0.9348
94,74,9.707,0.3106,0.925
95,34,6.58,0.5499,0.8947
96,48,7.818,0.6932,0.8727
97,67,9.236,0.3933,0.9178
98,181,15.181,0.6437,0.9784
99,95,10.998,0.4598,0.9135
100,12,3.909,0.8352,0.7059
101,25,5.642,0.6345,0.8621
102,139,13.303,0.6571,0.9205
103,26,5.754,0.8523,0.8667
104,82,10.218,0.6072,0.8913
105,218,16.66,0.4274,0.9604
106,71,9.508,0.2695,0.9103
107,86,10.464,0.4759,0.9247
108,64,9.027,0.9058,0.9143
109,190,15.554,0.5833,0.9596
110,34,6.58,0.7193,0.8947
111,41,7.225,0.8578,0.8723
112,78,9.966,0.7195,0.907
113,328,20.436,0.3072,0.9619
114,138,13.255,0.5804,0.902
115,327,20.405,0.4141,0.9589
116,202,16.037,0.5282,0.9309
117,51,8.058,0.8809,0.8793
118,110,11.835,0.5435,0.9167
119,88,10.585,0.572,0.9167
120,42,7.313,0.878,0.9333
121,235,17.298,0.3687,0.9476
122,296,19.413,0.6562,0.9548
123,148,13.727,0.5602,0.9427
124,248,17.77,0.516,0.9394
125,54,8.292,0.6328,0.8852
126,205,16.156,0.4452,0.9491
127,34,6.58,0.4563,0.8947
128,60,8.74,0.3509,0.9091
129,32,6.383,0.7256,0.8889
130,231,17.15,0.6324,0.9545
131,74,9.707,0.6888,0.9136
132,151,13.866,0.6845,0.9557
133,14,4.222,0.707,0.875
134,116,12.153,0.4377,0.9431
135,203,16.077,0.2913,0.9312
136,109,11.781,0.4649,0.9561
137,109,11.781,0.41,0.9732
138,103,11.452,0.8038,0.9364
139,83,10.28,0.742,0.9121
140,80,10.093,0.494,0.9877
141,42,7.313,0.8521,0.875
142,226,16.963,0.5385,0.9456
143,120,12.361,0.5467,0.8955
144,101,11.34,0.3423,0.9018
145,113,11.995,0.7446,0.9576
146,36,6.77,0.5782,0.9
147,41,7.225,0.7225,0.7736
148,44,7.485,0.8369,0.8462
149,366,21.587,0.3256,0.9632
150,97,11.113,0.4974,0.951
151,155,14.048,0.6259,0.9226
152,26,5.754,0.6952,0.8667
153,71,9.508,0.7706,0.9103
154,97,11.113,0.6805,0.9417
155,76,9.837,0.443,0.8736
156,90,10.705,0.9035,0.9184
157,81,10.155,0.5995,0.8182
158,77,9.901,0.5708,0.8851
159,254,17.983,0.4724,0.9373
160,159,14.228,0.7838,0.9464
161,125,12.616,0.6148,0.947
162,59,8.667,0.8379,0.9077
163,73,9.641,0.5782,0.9605
164,233,17.224,0.53,0.9395
165,58,8.593,0.531,0.716
166,57,8.519,0.7216,0.9048
167,39,7.047,0.852,0.9512
168,128,12.766,0.7979,0.9209
169,151,13.866,0.5235,0.9618
170,49,7.899,0.621,0.8448
171,71,9.508,0.2808,0.8765
172,104,11.507,0.65,0.9286
173,72,9.575,0.694,0.8571
174,25,5.642,0.3751,0.8333
175,47,7.736,0.7105,0.94
176,33,6.482,0.689,0.9167
177,49,7.899,0.8611,0.8596
178,103,11.452,0.5395,0.9279
179,76,9.837,0.4538,0.95
180,56,8.444,0.5818,0.9492
181,107,11.672,0.4887,0.9469
182,153,13.957,0.3698,0.9162
183,45,7.569,0.7854,0.7627
184,116,12.153,0.5941,0.8992
185,68,9.305,0.6922,0.9067
186,50,7.979,0.806,0.8475
187,119,12.309,0.824,0.9675
188,119,12.309,0.6838,0.9154
189,114,12.048,0.7604,0.9344
190,54,8.292,0.6346,0.7941
191,359,21.38,0.3912,0.9573
192,138,13.255,0.6218,0.902
193,28,5.971,0.8906,0.8485
194,318,20.122,0.495,0.9636
195,48,7.818,0.7727,0.8421
196,99,11.227,0.9415,0.9252
197,62,8.885,0.7384,0.9118
198,71,9.508,0.3162,0.9861
199,40,7.136,0.8083,0.9091
200,51,8.058,0.7367,0.8095
201,44,7.485,0.6829,0.9778
202,151,13.866,0.4417,0.9437
203,50,7.979,0.7337,0.9434
204,52,8.137,0.6902,0.7879
205,112,11.942,0.572,0.9256
206,41,7.225,0.6203,0.82
207,91,10.764,0.7543,0.9381
208,33,6.482,0.8558,0.9167
209,63,8.956,0.6231,0.9
210,238,17.408,0.5647,0.9444
211,22,5.293,0.872,0.8148
212,202,16.037,0.5634,0.9439
213,151,13.866,0.5177,0.9557
214,77,9.901,0.4242,0.828
215,109,11.781,0.7785,0.9561
216,91,10.764,0.3782,0.9381
217,77,9.901,0.6138,0.9167
218,43,7.399,0.6895,0.9149
219,250,17.841,0.339,0.9615
220,162,14.362,0.6879,0.9364
221,35,6.676,0.8142,0.7447
222,56,8.444,0.7646,0.9333
223,31,6.283,0.8894,0.7949
224,209,16.313,0.6131,0.9414
225,57,8.519,0.4281,0.8636
226,61,8.813,0.7318,0.8714
227,98,11.17,0.6144,0.9423
228,81,10.155,0.2678,0.9205
229,33,6.482,0.8706,0.7674
230,53,8.215,0.6718,0.8689
231,45,7.569,0.7253,0.7895
232,188,15.472,0.5142,0.9843
233,203,16.077,0.2148,0.9355
234,27,5.863,0.5967,0.7941
235,47,7.736,0.5705,0.7833
236,553,26.535,0.356,0.9534
237,158,14.184,0.4962,0.9405
238,80,10.093,0.3897,0.9756
239,214,16.507,0.4252,0.9427
240,128,12.766,0.5403,0.9552
241,198,15.878,0.489,0.9519
242,61,8.813,0.726,0.9104
243,60,8.74,0.6549,0.9091
244,36,6.77,0.754,0.9
245,82,10.218,0.603,0.8913
246,88,10.585,0.2155,0.9167
247,110,11.835,0.5055,0.9483
248,104,11.507,0.6573,0.9541
249,113,11.995,0.4549,0.9576
250,47,7.736,0.6398,0.8868
251,88,10.585,0.7558,0.9072
252,58,8.593,0.5944,0.9508
253,155,14.048,0.8344,0.9688
254,36,6.77,0.7448,0.8571
255,89,10.645,0.1718,0.9271
256,68,9.305,0.4715,0.9444
257,35,6.676,0.759,0.9211
258,108,11.726,0.6446,0.931
259,133,13.013,0.4716,0.9172
260,127,12.716,0.5567,0.9071
261,61,8.813,0.5711,0.9531
262,163,14.406,0.2505,0.9209
263,109,11.781,0.5871,0.9316
264,115,12.101,0.6009,0.9504
265,36,6.77,0.5852,0.9
266,44,7.485,0.6917,0.8462
267,187,15.43,0.5411,0.9257
268,20,5.046,0.6639,0.8333
269,248,17.77,0.4453,0.965
270,61,8.813,0.6409,0.9242
271,103,11.452,0.6297,0.9537
272,114,12.048,0.564,0.912
273,172,14.799,0.8618,0.9348
274,139,13.303,0.4647,0.9205
275,207,16.235,0.584,0.9495
276,259,18.16,0.66,0.9487
277,46,7.653,0.5354,0.8846
278,91,10.764,0.4825,0.9579
279,138,13.255,0.5651,0.9452
280,50,7.979,0.5443,0.8772
281,26,5.754,0.9401,0.8667
282,81,10.155,0.666,0.8526
283,84,10.342,0.626,0.9333
284,116,12.153,0.8366,0.928
285,48,7.818,0.7466,0.6486
286,67,9.236,0.4327,0.9306
287,134,13.062,0.5595,0.971
288,114,12.048,0.5795,0.9268
289,116,12.153,0.5771,0.9355
290,44,7.485,0.6575,0.6875
291,47,7.736,0.4142,0.8246
292,22,5.293,0.7016,0.7333
293,27,5.863,0.7854,0.871
294,58,8.593,0.7093,0.8788
295,35,6.676,0.485,0.6863
296,31,6.283,0.8752,0.8611
297,139,13.303,0.5853,0.9521
298,63,8.956,0.3397,0.9265
299,170,14.712,0.4817,0.929
300,157,14.139,0.4652,0.9235
301,39,7.047,0.8331,0.9512
302,137,13.207,0.3731,0.9448
303,97,11.113,0.7252,0.9327
304,30,6.18,0.2878,0.9677
305,21,5.171,0.9691,0.7778
306,77,9.901,0.7106,0.8851
307,48,7.818,0.5368,0.9231
