# frothseg.bsd/v1 count=197 d10=9.35 d50=14.84 d90=25.87 d32=21.96 pctSmall=0.046
id,area_px,d_eq_px,ecc,solidity
1,263,18.299,0.4475,0.9132
2,747,30.84,0.6929,0.9689
3,1389,42.054,0.4101,0.9679
4,277,18.78,0.6796,0.7716
5,149,13.774,0.7707,0.9313
6,705,29.961,0.2707,0.8879
7,261,18.23,0.4839,0.9031
8,425,23.262,0.6535,0.9529
9,757,31.046,0.4215,0.9705
10,408,22.792,0.5241,0.9577
11,716,30.193,0.5175,0.9637
12,62,8.885,0.9109,0.4806
13,608,27.823,0.2541,0.9635
14,158,14.184,0.6437,0.908
15,109,11.781,0.2015,0.9478
16,209,16.313,0.6505,0.897
17,28,5.971,0.3266,0.8485
18,97,11.113,0.1978,0.8584
19,92,10.823,0.8482,0.4842
20,143,13.493,0.3751,0.947
21,73,9.641,0.4995,0.8902
22,136,13.159,0.8338,0.7473
23,462,24.254,0.6014,0.9585
24,278,18.814,0.1237,0.9619
25,88,10.585,0.6423,0.8713
26,420,23.125,0.3855,0.9633
27,451,23.963,0.6979,0.9616
28,198,15.878,0.6929,0.9124
29,228,17.038,0.6162,0.9461
30,166,14.538,0.7447,0.9326
31,87,10.525,0.5678,0.8788
32,455,24.069,0.6456,0.966
33,294,19.348,0.4849,0.9187
34,203,16.077,0.6555,0.8494
35,220,16.737,0.5611,0.9778
36,204,16.116,0.7022,0.9488
37,438,23.615,0.7251,0.9563
38,172,14.799,0.5867,0.9399
39,84,10.342,0.6637,0.6131
40,241,17.517,0.4651,0.9488
41,281,18.915,0.7775,0.9723
42,170,14.712,0.8742,0.977
43,138,13.255,0.8188,0.8313
44,21,5.171,0.8108,0.8077
45,1445,42.893,0.4738,0.9704
46,116,12.153,0.4155,0.5659
47,239,17.444,0.3035,0.9157
48,207,16.235,0.505,0.9241
49,117,12.205,0.4012,0.936
50,144,13.541,0.6241,0.9351
51,97,11.113,0.469,0.8584
52,48,7.818,0.9004,0.96
53,51,8.058,0.9174,0.9623
54,130,12.866,0.6711,0.8553
55,697,29.79,0.8884,0.9721
56,132,12.964,0.7402,0.6735
57,555,26.583,0.5006,0.9487
58,163,14.406,0.4691,0.8956
59,128,12.766,0.5281,0.9343
60,50,7.979,0.9281,0.8333
61,102,11.396,0.871,0.9714
62,92,10.823,0.4562,0.8932
63,150,13.82,0.9297,0.9202
64,322,20.248,0.4045,0.928
65,23,5.412,0.9127,0.8214
66,542,26.27,0.6645,0.961
67,149,13.774,0.7302,0.9141
68,245,17.662,0.3817,0.9533
69,249,17.806,0.5979,0.9504
70,128,12.766,0.5568,0.9078
71,520,25.731,0.6727,0.972
72,748,30.861,0.6825,0.9652
73,99,11.227,0.9232,0.9612
74,487,24.901,0.6209,0.953
75,355,21.26,0.6209,0.9342
76,229,17.075,0.6074,0.8707
77,375,21.851,0.8622,0.9591
78,301,19.577,0.3151,0.9436
79,197,15.838,0.5214,0.9426
80,8,3.192,0.8416,0.7273
81,286,19.083,0.5018,0.9597
82,152,13.912,0.7406,0.7835
83,354,21.23,0.2724,0.9491
84,83,10.28,0.9449,0.8469
85,120,12.361,0.482,0.7186
86,697,29.79,0.1502,0.9627
87,375,21.851,0.9555,0.9665
88,318,20.122,0.4372,0.9607
89,290,19.216,0.7639,0.8978
90,47,7.736,0.6907,0.7231
91,316,20.059,0.6909,0.9213
92,14,4.222,0.8441,0.875
93,38,6.956,0.7978,0.5278
94,48,7.818,0.7635,0.8889
95,69,9.373,0.8035,0.8313
96,275,18.712,0.5569,0.9386
97,245,17.662,0.6053,0.9722
98,731,30.508,0.6346,0.9669
99,233,17.224,0.6303,0.9549
100,351,21.14,0.3427,0.9669
101,188,15.472,0.6811,0.7737
102,571,26.963,0.4914,0.9645
103,72,9.575,0.5768,0.9114
104,289,19.182,0.5027,0.9444
105,321,20.217,0.6517,0.9497
106,240,17.481,0.6951,0.9023
107,97,11.113,0.7862,1.0
108,439,23.642,0.3838,0.9523
109,484,24.824,0.5864,0.949
110,39,7.047,0.6021,0.4021
111,136,13.159,0.42,0.9444
112,152,13.912,0.8529,0.9102
113,172,14.799,0.9095,0.7197
114,222,16.812,0.3822,0.9212
115,382,22.054,0.7889,0.9317
116,295,19.381,0.6325,0.8127
117,156,14.093,0.7925,0.8914
118,322,20.248,0.3869,0.9728
119,300,19.544,0.3221,0.9288
120,509,25.457,0.7968,0.9586
121,110,11.835,0.7814,0.88
122,764,31.189,0.5268,0.977
123,126,12.666,0.5399,0.9
124,39,7.047,0.8881,0.78
125,50,7.979,0.5459,0.8772
126,274,18.678,0.7019,0.932
127,383,22.083,0.5664,0.9274
128,154,14.003,0.7954,0.9059
129,75,9.772,0.7873,0.8065
130,152,13.912,0.6425,0.8941
131,536,26.124,0.3342,0.9606
132,68,9.305,0.6173,0.6939
133,117,12.205,0.877,0.8069
134,171,14.755,0.4955,0.9344
135,358,21.35,0.6654,0.9496
136,136,13.159,0.8457,0.8774
137,205,16.156,0.3373,0.9535
138,575,27.058,0.6744,0.9504
139,210,16.352,0.7563,0.6402
140,219,16.698,0.7303,0.8902
141,312,19.931,0.7891,0.9231
142,116,12.153,0.7528,0.8
143,138,13.255,0.9077,0.8364
144,161,14.318,0.7265,0.8385
145,178,15.054,0.7326,0.9468
146,388,22.226,0.6526,0.9129
147,249,17.806,0.2896,0.9022
148,133,13.013,0.7617,0.8636
149,538,26.173,0.7149,0.9659
150,44,7.485,0.6847,0.88
151,173,14.842,0.5112,0.865
152,58,8.593,0.4305,0.8657
153,129,12.816,0.757,0.5584
154,134,13.062,0.9294,0.9116
155,118,12.257,0.7459,0.8489
156,211,16.391,0.4741,0.942
157,370,21.705,0.5494,0.9296
158,693,29.704,0.5131,0.9612
159,115,12.101,0.4955,0.9583
160,343,20.898,0.2982,0.9608
161,65,9.097,0.5914,0.7647
162,238,17.408,0.6402,0.853
163,179,15.097,0.3633,0.9471
164,150,13.82,0.8666,0.9615
165,164,14.45,0.5906,0.9266
166,192,15.635,0.2941,0.9458
167,88,10.585,0.508,0.8544
168,110,11.835,0.8108,0.9483
169,143,13.493,0.4248,0.8938
170,146,13.634,0.5197,0.9241
171,158,14.184,0.4256,0.8541
172,166,14.538,0.8067,0.9222
173,122,12.463,0.8519,0.7485
174,95,10.998,0.3044,0.9314
