# frothseg.bsd/v1 count=231 d10=8.52 d50=14.41 d90=23.51 d32=21.04 pctSmall=0.026
id,area_px,d_eq_px,ecc,solidity
1,422,23.18,0.2583,0.9336
2,517,25.657,0.412,0.9521
3,199,15.918,0.4576,0.9087
4,96,11.056,0.5524,0.7059
5,327,20.405,0.5993,0.9618
6,246,17.698,0.6673,0.9389
7,154,14.003,0.6372,0.9277
8,190,15.554,0.4713,0.936
9,214,16.507,0.4018,0.8425
10,185,15.348,0.6316,0.9439
11,215,16.545,0.5886,0.943
12,106,11.617,0.4123,0.9464
13,239,17.444,0.5103,0.9228
14,120,12.361,0.4377,0.8889
15,58,8.593,0.8981,0.7632
16,143,13.493,0.5769,0.947
17,226,16.963,0.8362,0.9617
18,255,18.019,0.7658,0.9206
19,292,19.282,0.605,0.9241
20,334,20.622,0.8543,0.9625
21,263,18.299,0.5112,0.9427
22,180,15.139,0.7802,0.9375
23,151,13.866,0.7033,0.9379
24,624,28.187,0.3712,0.9585
25,168,14.625,0.6372,0.9231
26,133,13.013,0.7054,0.875
27,434,23.507,0.3253,0.9688
28,600,27.64,0.4883,0.9788
29,70,9.441,0.7982,0.8642
30,218,16.66,0.8131,0.9237
31,175,14.927,0.5151,0.9459
32,252,17.912,0.292,0.9438
33,178,15.054,0.8276,0.8641
34,233,17.224,0.7728,0.8504
35,390,22.284,0.8603,0.963
36,311,19.899,0.4241,0.954
37,96,11.056,0.6045,0.9505
38,184,15.306,0.6893,0.8804
39,67,9.236,0.7577,0.9853
40,74,9.707,0.8497,0.7184
41,104,11.507,0.6933,0.9286
42,386,22.169,0.2498,0.9484
43,391,22.312,0.4475,0.9513
44,82,10.218,0.8712,0.9111
45,1410,42.371,0.4815,0.9711
46,367,21.617,0.2932,0.9434
47,129,12.816,0.7086,0.8487
48,217,16.622,0.6526,0.9435
49,205,16.156,0.6022,0.9535
50,115,12.101,0.4998,0.9664
51,777,31.453,0.5023,0.9604
52,635,28.434,0.7807,0.9739
53,215,16.545,0.5886,0.9556
54,377,21.909,0.3944,0.952
55,346,20.989,0.6176,0.9377
56,196,15.797,0.2053,0.9608
57,114,12.048,0.8221,0.8143
58,86,10.464,0.3481,0.8515
59,253,17.948,0.3926,0.9405
60,210,16.352,0.7677,0.9211
61,122,12.463,0.8576,0.9531
62,248,17.77,0.5741,0.9084
63,290,19.216,0.4461,0.9236
64,137,13.207,0.8093,0.9257
65,45,7.569,0.6895,0.8654
66,15,4.37,0.955,0.8333
67,518,25.681,0.5651,0.9628
68,210,16.352,0.554,0.9502
69,51,8.058,0.8681,0.8226
70,121,12.412,0.7843,0.8013
71,268,18.472,0.676,0.9504
72,602,27.686,0.5616,0.9571
73,670,29.207,0.3216,0.9767
74,307,19.771,0.5671,0.9388
75,227,17.001,0.6031,0.938
76,81,10.155,0.1832,0.9529
77,159,14.228,0.8483,0.9521
78,100,11.284,0.9468,0.8621
79,200,15.958,0.785,0.9132
