# frothseg.bsd/v1 count=196 d10=9.3 d50=15.31 d90=27.22 d32=22.55 pctSmall=0.005
id,area_px,d_eq_px,ecc,solidity
1,336,20.684,0.2147,0.9412
2,249,17.806,0.684,0.9222
3,709,30.045,0.4695,0.9581
4,260,18.195,0.5631,0.8784
5,48,7.818,0.9532,0.8889
6,239,17.444,0.628,0.956
7,407,22.764,0.4978,0.9509
8,747,30.84,0.4855,0.9664
9,831,32.528,0.6298,0.9765
10,59,8.667,0.4035,0.9365
11,144,13.541,0.6383,0.929
12,130,12.866,0.6864,0.8904
13,582,27.222,0.431,0.9732
14,145,13.587,0.67,0.9062
15,115,12.101,0.9421,0.8712
16,126,12.666,0.8497,0.9403
17,74,9.707,0.5219,0.9737
18,157,14.139,0.6312,0.7235
19,328,20.436,0.6502,0.9371
20,279,18.848,0.6007,0.9088
21,51,8.058,0.639,0.8644
22,60,8.74,0.7577,0.7595
23,370,21.705,0.8738,0.9661
24,697,29.79,0.5685,0.9587
25,170,14.712,0.62,0.9444
26,192,15.635,0.4614,0.9458
27,488,24.927,0.4425,0.9513
28,342,20.867,0.556,0.9319
29,679,29.403,0.6326,0.9672
30,416,23.015,0.8854,0.9674
31,303,19.642,0.6104,0.9072
32,24,5.528,0.4611,0.9231
33,165,14.494,0.9501,0.9483
34,145,13.587,0.8432,0.8951
35,95,10.998,0.6057,0.6934
36,480,24.722,0.6318,0.9677
37,929,34.392,0.537,0.9687
38,137,13.207,0.6601,0.8954
39,418,23.07,0.614,0.9414
40,660,28.989,0.4992,0.9621
41,330,20.498,0.5143,0.9706
42,185,15.348,0.9124,0.9487
43,168,14.625,0.5986,0.9438
44,204,16.116,0.4189,0.9533
45,275,18.712,0.6833,0.9291
46,356,21.29,0.3498,0.9596
47,314,19.995,0.0798,0.9691
48,132,12.964,0.6735,0.7857
49,155,14.048,0.5151,0.8333
50,324,20.311,0.4989,0.9614
51,231,17.15,0.5971,0.9545
52,179,15.097,0.7787,0.8565
53,352,21.17,0.543,0.9565
54,166,14.538,0.4271,0.9595
55,1024,36.108,0.2719,0.9669
56,202,16.037,0.3664,0.8978
57,341,20.837,0.3152,0.942
58,110,11.835,0.6932,0.4741
59,245,17.662,0.5983,0.9646
60,163,14.406,0.8138,0.8907
61,147,13.681,0.8661,0.9245
62,245,17.662,0.1702,0.9646
63,964,35.034,0.5359,0.9583
64,231,17.15,0.7186,0.924
65,131,12.915,0.8423,0.8506
66,72,9.575,0.338,0.8471
67,88,10.585,0.7609,0.8889
68,218,16.66,0.4356,0.8934
69,170,14.712,0.6108,0.7083
70,228,17.038,0.6629,0.9785
71,95,10.998,0.4561,0.9048
72,193,15.676,0.6182,0.9061
73,63,8.956,0.7538,0.875
74,678,29.381,0.2239,0.9798
75,73,9.641,0.6632,0.7228
76,256,18.054,0.6284,0.7442
77,183,15.264,0.3167,0.8433
78,279,18.848,0.5226,0.9555
79,424,23.235,0.6514,0.9319
80,46,7.653,0.9615,0.9388
81,541,26.245,0.6539,0.9525
82,94,10.94,0.7437,0.8034
83,180,15.139,0.4685,0.9278
84,689,29.619,0.732,0.9569
85,317,20.09,0.4461,0.9491
86,407,22.764,0.5502,0.9314
87,556,26.607,0.4443,0.9653
88,1060,36.737,0.6186,0.9689
89,114,12.048,0.9737,0.8507
90,259,18.16,0.4258,0.9522
91,389,22.255,0.7995,0.9725
92,187,15.43,0.4536,0.9257
93,102,11.396,0.6902,0.8718
94,938,34.559,0.4357,0.97
95,157,14.139,0.8156,0.8351
96,68,9.305,0.6382,0.7907
97,582,27.222,0.6176,0.9588
98,72,9.575,0.8314,0.8675
99,238,17.408,0.5696,0.8686
100,636,28.457,0.586,0.9607
101,447,23.857,0.6062,0.9411
102,113,11.995,0.6872,0.9187
103,212,16.429,0.506,0.9593
104,65,9.097,0.768,0.7831
105,112,11.942,0.7977,0.9032
106,175,14.927,0.6415,0.7353
107,48,7.818,0.5155,0.9057
108,358,21.35,0.5496,0.9396
109,153,13.957,0.6202,0.8844
110,128,12.766,0.8521,0.8889
111,112,11.942,0.7052,0.9032
112,452,23.99,0.5493,0.9658
113,180,15.139,0.5978,0.9278
114,252,17.912,0.553,0.9032
115,242,17.553,0.757,0.9098
116,108,11.726,0.7989,0.9474
117,129,12.816,0.8869,0.9485
118,60,8.74,0.9495,0.8696
119,121,12.412,0.7672,0.8345
120,121,12.412,0.7217,0.8121
121,174,14.884,0.7281,0.8923
122,156,14.093,0.2398,0.9455
123,345,20.959,0.5942,0.953
124,68,9.305,0.334,0.8718
125,225,16.926,0.4496,0.9336
126,429,23.371,0.4991,0.9662
127,126,12.666,0.8914,0.9
128,223,16.85,0.5725,0.8577
129,57,8.519,0.8846,0.75
130,312,19.931,0.3919,0.975
131,390,22.284,0.6491,0.9443
132,124,12.565,0.2781,0.9466
133,111,11.888,0.8726,0.74
134,240,17.481,0.578,0.8541
135,88,10.585,0.5137,0.8889
136,67,9.236,0.4509,0.8816
137,83,10.28,0.9313,0.7545
138,58,8.593,0.9415,0.5577
139,243,17.59,0.8959,0.9643
140,618,28.051,0.4791,0.9596
141,97,11.113,0.8103,0.9151
142,130,12.866,0.8928,0.9353
143,111,11.888,0.6577,0.9328
144,329,20.467,0.5633,0.9427
145,130,12.866,0.7494,0.9028
146,176,14.97,0.4944,0.8462
147,228,17.038,0.499,0.962
148,825,32.41,0.4252,0.9638
149,147,13.681,0.5501,0.8122
150,82,10.218,0.7606,0.7455
151,102,11.396,0.6214,0.8361
152,427,23.317,0.6866,0.9683
153,54,8.292,0.7047,0.931
154,383,22.083,0.5426,0.948
155,191,15.595,0.4394,0.9409
156,195,15.757,0.83,0.8784
157,153,13.957,0.6128,0.9273
158,199,15.918,0.7717,0.9567
159,1089,37.237,0.4645,0.9637
160,146,13.634,0.2478,0.869
161,133,13.013,0.9603,0.8808
162,315,20.027,0.7214,0.8949
163,114,12.048,0.6926,0.7972
164,121,12.412,0.8717,0.938
165,62,8.885,0.9221,0.7949
166,721,30.299,0.7648,0.9626
167,383,22.083,0.3927,0.9672
168,79,10.029,0.7621,0.8681
169,154,14.003,0.5166,0.8701
170,126,12.666,0.651,0.6632
171,369,21.675,0.7115,0.9342
172,163,14.406,0.415,0.8624
173,493,25.054,0.3268,0.9667
174,52,8.137,0.8475,0.8966
175,399,22.539,0.5491,0.95
176,214,16.507,0.4705,0.8526
177,64,9.027,0.9526,0.9275
178,729,30.466,0.5951,0.9656
179,478,24.67,0.557,0.9484
180,118,12.257,0.6194,0.831
181,446,23.83,0.5437,0.901
182,418,23.07,0.3507,0.9522
183,65,9.097,0.8966,0.8904
184,93,10.882,0.9265,0.93
185,154,14.003,0.6349,0.8953
186,391,22.312,0.5657,0.9467
187,130,12.866,0.8676,0.9091
188,154,14.003,0.6178,0.9565
189,193,15.676,0.4097,0.9104
190,123,12.514,0.81,0.9179
192,284,19.016,0.6276,0.9435
193,250,17.841,0.5983,0.9363
194,69,9.373,0.742,0.8519
195,175,14.927,0.5433,0.7778
196,111,11.888,0.8725,0.8222
197,63,8.956,0.6007,0.8873
