# frothseg.bsd/v1 count=114 d10=19.95 d50=25.99 d90=32.98 d32=28.41 pctSmall=0.0
id,area_px,d_eq_px,ecc,solidity
1,447,23.857,0.5121,0.949
2,434,23.507,0.8477,0.9476
3,857,33.033,0.5035,0.9575
4,440,23.669,0.8702,0.9586
5,807,32.055,0.6116,0.9607
6,694,29.726,0.6103,0.9599
7,983,35.378,0.6164,0.9666
8,1002,35.718,0.4587,0.9691
9,974,35.216,0.5508,0.9615
10,782,31.554,0.5875,0.956
11,848,32.859,0.627,0.9636
12,810,32.114,0.551,0.9654
13,476,24.618,0.5419,0.9407
14,503,25.307,0.5804,0.9473
15,605,27.754,0.5194,0.9727
16,455,24.069,0.6656,0.944
17,246,17.698,0.9612,0.9425
18,918,34.188,0.3347,0.9623
19,802,31.955,0.6895,0.9733
20,484,24.824,0.351,0.9528
21,630,28.322,0.5695,0.9618
22,737,30.633,0.4441,0.9547
23,592,27.455,0.5515,0.9564
24,749,30.881,0.5047,0.9554
25,579,27.152,0.5225,0.9507
26,307,19.771,0.6216,0.9475
27,539,26.197,0.2982,0.9456
28,793,31.775,0.4836,0.9589
29,812,32.154,0.6943,0.9621
30,263,18.299,0.8954,0.9599
31,470,24.463,0.5568,0.9572
32,426,23.289,0.4573,0.9467
33,398,22.511,0.6101,0.959
34,684,29.511,0.4249,0.9566
35,440,23.669,0.8331,0.9628
36,565,26.821,0.5416,0.9675
37,219,16.698,0.9595,0.9563
38,749,30.881,0.7013,0.9481
39,674,29.294,0.5539,0.948
40,557,26.631,0.4649,0.957
41,1162,38.464,0.5778,0.9667
42,817,32.253,0.6348,0.9669
43,471,24.489,0.4985,0.9401
44,274,18.678,0.701,0.9481
45,526,25.879,0.7498,0.9427
46,531,26.002,0.4734,0.9533
47,863,33.148,0.5545,0.9557
48,762,31.148,0.6947,0.9621
49,1048,36.529,0.3919,0.9686
50,998,35.647,0.5132,0.9652
51,762,31.148,0.5924,0.9501
52,748,30.861,0.3525,0.9652
53,408,22.792,0.2554,0.9488
54,660,28.989,0.5962,0.9551
55,642,28.591,0.5488,0.9345
56,790,31.715,0.6324,0.9507
57,552,26.511,0.4466,0.955
58,631,28.345,0.4671,0.9489
59,951,34.797,0.675,0.9665
60,1023,36.09,0.438,0.9633
61,577,27.105,0.5776,0.9665
62,700,29.854,0.4787,0.955
63,505,25.357,0.4687,0.9712
64,756,31.025,0.5143,0.9618
65,438,23.615,0.5797,0.9379
66,411,22.876,0.7296,0.9625
67,518,25.681,0.6393,0.9522
68,723,30.341,0.5673,0.964
69,401,22.596,0.5711,0.9093
70,902,33.889,0.5604,0.9637
71,643,28.613,0.643,0.9611
72,487,24.901,0.6662,0.9644
73,422,23.18,0.6441,0.9746
74,420,23.125,0.5716,0.9459
75,671,29.229,0.4637,0.9545
76,609,27.846,0.4833,0.9545
77,426,23.289,0.8219,0.9638
78,519,25.706,0.6259,0.9471
79,587,27.338,0.4817,0.956
80,709,30.045,0.3892,0.9517
81,604,27.732,0.4483,0.9527
82,552,26.511,0.6555,0.9501
83,445,23.803,0.5239,0.9632
84,399,22.539,0.9548,0.9591
85,140,13.351,0.8517,0.9524
86,514,25.582,0.6228,0.9397
87,327,20.405,0.8357,0.9478
88,157,14.139,0.6345,0.9573
89,529,25.953,0.6562,0.9549
90,801,31.935,0.6208,0.9581
91,545,26.342,0.6979,0.9646
92,649,28.746,0.5538,0.9516
93,521,25.756,0.2613,0.9542
94,326,20.373,0.885,0.9645
95,518,25.681,0.5849,0.954
96,291,19.249,0.7231,0.918
97,245,17.662,0.9576,0.9459
98,530,25.977,0.4368,0.9481
99,450,23.937,0.8077,0.9514
100,381,22.025,0.5553,0.9525
101,457,24.122,0.7172,0.9581
102,334,20.622,0.9045,0.9598
103,590,27.408,0.7224,0.9395
104,458,24.148,0.6004,0.9542
105,418,23.07,0.5602,0.9436
106,515,25.607,0.4213,0.959
107,413,22.931,0.3858,0.9672
108,340,20.806,0.3519,0.929
109,160,14.273,0.9249,0.9412
110,453,24.016,0.7465,0.9577
111,199,15.918,0.8537,0.9387
112,226,16.963,0.6216,0.9536
113,491,25.003,0.5517,0.9534
114,461,24.227,0.6628,0.9466
