# frothseg.bsd/v1 count=197 d10=9.71 d50=15.26 d90=25.55 d32=23.95 pctSmall=0.036
id,area_px,d_eq_px,ecc,solidity
1,294,19.348,0.7419,0.9333
2,74,9.707,0.7994,0.881
3,256,18.054,0.3586,0.9412
4,769,31.291,0.6925,0.9759
5,64,9.027,0.6622,0.6737
6,355,21.26,0.4804,0.9621
7,111,11.888,0.6091,0.8346
8,899,33.833,0.5544,0.9656
9,107,11.672,0.5171,0.9304
10,158,14.184,0.2788,0.8061
11,880,33.473,0.4598,0.9597
12,786,31.635,0.5576,0.974
13,119,12.309,0.8635,0.8815
14,43,7.399,0.5953,0.86
15,58,8.593,0.9742,0.8056
16,264,18.334,0.7327,0.9742
17,344,20.928,0.3049,0.9529
18,71,9.508,0.768,0.8353
19,632,28.367,0.3862,0.9664
20,364,21.528,0.5752,0.9504
21,183,15.264,0.9633,0.9104
22,235,17.298,0.337,0.9514
23,288,19.149,0.4619,0.8397
24,110,11.835,0.8418,0.8333
25,413,22.931,0.5228,0.9538
26,238,17.408,0.6565,0.937
27,190,15.554,0.6812,0.9091
28,470,24.463,0.647,0.9572
29,96,11.056,0.9644,0.932
30,39,7.047,0.7239,0.6842
31,180,15.139,0.7513,0.9184
32,109,11.781,0.9593,0.8258
33,281,18.915,0.5725,0.9461
34,324,20.311,0.4388,0.9446
35,88,10.585,0.8069,0.6471
36,636,28.457,0.4672,0.9725
37,1107,37.543,0.5595,0.9694
38,382,22.054,0.4376,0.9526
39,95,10.998,0.6064,0.9048
40,221,16.775,0.4843,0.9485
41,298,19.479,0.8312,0.9058
42,341,20.837,0.2603,0.9394
43,372,21.763,0.6884,0.9442
44,86,10.464,0.8097,0.8687
45,138,13.255,0.6695,0.9324
46,376,21.88,0.4963,0.9543
47,1613,45.318,0.8553,0.9823
48,350,21.11,0.4882,0.9642
49,228,17.038,0.4851,0.954
50,354,21.23,0.5125,0.934
51,1005,35.772,0.3597,0.9701
52,190,15.554,0.607,0.9314
53,30,6.18,0.4986,0.6667
54,124,12.565,0.7877,0.8794
55,140,13.351,0.6392,0.8
56,104,11.507,0.8886,0.9043
57,10,3.568,0.7443,0.9091
58,138,13.255,0.6551,0.9262
59,2123,51.991,0.3629,0.9833
60,500,25.231,0.5155,0.956
61,176,14.97,0.5908,0.9565
62,104,11.507,0.1816,0.8125
63,120,12.361,0.5546,0.9023
64,373,21.793,0.4888,0.9419
65,243,17.59,0.3494,0.8679
66,234,17.261,0.4996,0.7826
67,906,33.964,0.4793,0.9628
68,733,30.55,0.5866,0.9607
69,285,19.049,0.814,0.9468
70,72,9.575,0.907,0.766
71,259,18.16,0.5132,0.9487
72,122,12.463,0.5562,0.8592
73,134,13.062,0.7402,0.8701
74,186,15.389,0.4991,0.93
75,251,17.877,0.6369,0.9331
76,430,23.399,0.4271,0.9556
77,36,6.77,0.8237,0.48
78,362,21.469,0.7859,0.9258
79,135,13.111,0.3846,0.9854
80,72,9.575,0.9365,0.9351
81,83,10.28,0.8419,0.8737
82,304,19.674,0.8265,0.9651
83,224,16.888,0.6288,0.9106
84,538,26.173,0.296,0.9324
85,105,11.562,0.6905,0.8678
86,567,26.869,0.6016,0.9594
87,284,19.016,0.6486,0.9132
88,88,10.585,0.8063,0.8713
89,226,16.963,0.4893,0.915
90,45,7.569,0.7528,0.9574
91,162,14.362,0.8952,0.9529
92,642,28.591,0.6517,0.9568
93,199,15.918,0.8149,0.8964
94,128,12.766,0.9238,0.8101
95,108,11.726,0.5012,0.72
96,408,22.792,0.7657,0.9737
97,156,14.093,0.6856,0.9455
98,148,13.727,0.62,0.9487
99,134,13.062,0.7157,0.8428
100,861,33.11,0.3574,0.9707
101,521,25.756,0.4367,0.9542
102,162,14.362,0.5732,0.9101
103,147,13.681,0.457,0.9245
104,132,12.964,0.7487,0.8742
105,178,15.054,0.4914,0.9271
106,161,14.318,0.7791,0.9583
107,101,11.34,0.8552,0.8559
108,130,12.866,0.6584,0.7471
109,237,17.371,0.3705,0.9405
110,586,27.315,0.6115,0.9316
111,364,21.528,0.2931,0.9554
112,265,18.369,0.394,0.9779
113,90,10.705,0.7203,0.7563
114,294,19.348,0.5744,0.9639
115,454,24.043,0.4819,0.9478
116,462,24.254,0.5968,0.9625
117,110,11.835,0.7368,0.9167
118,87,10.525,0.6756,0.9062
119,507,25.407,0.4604,0.953
120,141,13.399,0.4127,0.993
121,382,22.054,0.7401,0.9479
122,190,15.554,0.5782,0.9268
123,53,8.215,0.8585,0.7571
124,203,16.077,0.6334,0.9667
125,102,11.396,0.7269,0.9444
126,122,12.463,0.8015,0.8905
127,148,13.727,0.6588,0.897
128,71,9.508,0.7512,0.8161
129,127,12.716,0.3443,0.9695
130,132,12.964,0.7009,0.8516
131,377,21.909,0.6528,0.952
132,214,16.507,0.682,0.9145
133,175,14.927,0.717,0.9259
134,247,17.734,0.912,0.9537
135,95,10.998,0.9744,0.8796
136,459,24.175,0.659,0.9329
137,311,19.899,0.673,0.9367
138,114,12.048,0.8778,0.8636
139,97,11.113,0.6269,0.7951
140,135,13.111,0.841,0.9184
141,117,12.205,0.6897,0.6923
142,239,17.444,0.8984,0.956
143,94,10.94,0.628,0.6963
144,241,17.517,0.4219,0.9163
145,280,18.881,0.769,0.9211
146,435,23.534,0.6601,0.9498
147,177,15.012,0.7618,0.9316
148,188,15.472,0.8512,0.9126
149,167,14.582,0.6711,0.7167
150,87,10.525,0.6524,0.8878
151,84,10.342,0.4218,0.9655
152,411,22.876,0.5025,0.9536
153,182,15.223,0.8078,0.9055
154,134,13.062,0.3263,0.7929
155,114,12.048,0.8167,0.8636
156,410,22.848,0.6032,0.9447
157,113,11.995,0.7706,0.9658
158,213,16.468,0.728,0.786
159,789,31.695,0.5856,0.9634
160,28,5.971,0.9647,0.9032
161,242,17.553,0.5841,0.9202
162,93,10.882,0.254,0.9208
163,385,22.14,0.6352,0.9483
164,276,18.746,0.6494,0.955
165,184,15.306,0.6809,0.9436
166,51,8.058,0.9734,0.8361
167,101,11.34,0.9118,0.886
168,229,17.075,0.635,0.8642
169,81,10.155,0.7091,0.75
170,297,19.446,0.4726,0.9519
171,233,17.224,0.4667,0.8792
172,222,16.812,0.8525,0.9737
173,110,11.835,0.5927,0.8271
174,68,9.305,0.7412,0.7158
175,174,14.884,0.5424,0.7768
176,88,10.585,0.8002,0.88
177,301,19.577,0.526,0.9377
178,1205,39.17,0.4836,0.9655
179,101,11.34,0.2414,0.9439
180,190,15.554,0.2428,0.9091
181,195,15.757,0.7283,0.9198
182,476,24.618,0.3123,0.9444
183,74,9.707,0.7578,0.9867
184,451,23.963,0.179,0.9596
185,61,8.813,0.6878,0.9531
