# frothseg.bsd/v1 count=197 d10=9.24 d50=14.63 d90=26.12 d32=22.96 pctSmall=0.025
id,area_px,d_eq_px,ecc,solidity
1,361,21.439,0.4416,0.9678
2,1412,42.401,0.5017,0.9725
3,426,23.289,0.5326,0.9816
4,87,10.525,0.6632,0.6444
5,138,13.255,0.4645,0.9517
6,591,27.431,0.3672,0.9673
7,207,16.235,0.5071,0.9495
8,568,26.892,0.5902,0.9546
9,14,4.222,0.8312,0.875
10,1290,40.528,0.2623,0.9729
11,611,27.892,0.8283,0.9745
12,66,9.167,0.2998,0.9706
13,170,14.712,0.6489,0.9239
14,139,13.303,0.5483,0.8129
15,147,13.681,0.7134,0.8963
16,570,26.94,0.6561,0.9532
17,127,12.716,0.5183,0.9621
18,127,12.716,0.7998,0.7937
19,461,24.227,0.3476,0.9665
20,660,28.989,0.5724,0.951
21,153,13.957,0.6806,0.85
22,337,20.714,0.4956,0.9656
23,120,12.361,0.9085,0.8451
24,626,28.232,0.4537,0.966
25,1595,45.065,0.4071,0.9749
26,518,25.681,0.4747,0.954
27,206,16.195,0.607,0.9671
28,103,11.452,0.8877,0.8957
29,167,14.582,0.6018,0.9489
30,19,4.918,0.8713,0.9048
31,524,25.83,0.6085,0.9562
32,1101,37.441,0.5328,0.9726
33,796,31.835,0.7597,0.9556
34,360,21.409,0.1479,0.9626
35,452,23.99,0.484,0.9516
36,120,12.361,0.7395,0.9023
37,314,19.995,0.5915,0.9486
38,332,20.56,0.4353,0.9568
39,60,8.74,0.8823,0.9677
40,87,10.525,0.9197,0.87
41,173,14.842,0.7491,0.9505
42,205,16.156,0.9221,0.9762
43,301,19.577,0.524,0.9586
44,600,27.64,0.4144,0.9554
45,85,10.403,0.8782,0.6071
46,574,27.034,0.5277,0.968
47,123,12.514,0.7683,0.9389
48,129,12.816,0.9543,0.8269
49,221,16.775,0.6706,0.9444
50,108,11.726,0.7403,0.806
51,123,12.514,0.4824,0.8723
52,63,8.956,0.7013,0.9265
53,111,11.888,0.7752,0.9328
54,65,9.097,0.6514,0.8784
55,116,12.153,0.5972,0.9667
56,67,9.236,0.4351,0.971
57,97,11.113,0.7864,0.8151
58,554,26.559,0.5425,0.9535
59,226,16.963,0.4051,0.9224
60,172,14.799,0.8892,0.9609
61,1006,35.789,0.6148,0.9581
62,421,23.152,0.7018,0.9656
63,227,17.001,0.7775,0.9265
64,132,12.964,0.8915,0.9041
65,426,23.289,0.2715,0.9488
66,267,18.438,0.5487,0.9604
67,601,27.663,0.6143,0.9694
68,227,17.001,0.3143,0.9578
69,73,9.641,0.728,0.9241
70,27,5.863,0.658,0.8438
71,450,23.937,0.3149,0.9677
72,69,9.373,0.691,0.5349
73,144,13.541,0.4497,0.973
74,366,21.587,0.4017,0.9531
75,197,15.838,0.7752,0.9426
76,148,13.727,0.4637,0.925
77,283,18.982,0.5016,0.9529
78,55,8.368,0.7771,0.5914
79,281,18.915,0.4613,0.9525
80,335,20.653,0.6928,0.9682
81,580,27.175,0.7986,0.9508
82,53,8.215,0.5876,0.6625
83,454,24.043,0.5993,0.968
84,341,20.837,0.5895,0.9579
85,91,10.764,0.2136,0.9479
86,51,8.058,0.3657,0.8947
87,246,17.698,0.6058,0.781
88,203,16.077,0.9589,0.9486
89,280,18.881,0.6943,0.9428
90,89,10.645,0.8126,0.6014
91,261,18.23,0.3885,0.9631
92,576,27.081,0.6495,0.96
93,157,14.139,0.669,0.9181
94,159,14.228,0.2243,0.8833
95,392,22.341,0.385,0.9631
96,82,10.218,0.88,0.8039
97,308,19.803,0.4491,0.9595
98,50,7.979,0.8626,0.8333
99,188,15.472,0.4781,0.9447
100,324,20.311,0.4249,0.9614
101,163,14.406,0.8032,0.9006
102,122,12.463,0.5723,0.8971
103,93,10.882,0.4219,0.949
104,484,24.824,0.5023,0.9738
105,48,7.818,0.7827,0.8727
106,111,11.888,0.6519,0.8473
107,270,18.541,0.7489,0.9408
108,448,23.883,0.6408,0.9552
109,206,16.195,0.6444,0.9364
110,109,11.781,0.6014,0.9083
111,512,25.532,0.4742,0.9377
112,127,12.716,0.8053,0.9338
113,717,30.214,0.6538,0.9822
114,108,11.726,0.9179,0.8308
115,168,14.625,0.8206,0.8889
116,130,12.866,0.7732,0.963
117,65,9.097,0.4493,0.9559
118,143,13.493,0.4818,0.9286
119,474,24.567,0.5757,0.9556
120,93,10.882,0.2066,0.9394
121,133,13.013,0.541,0.9366
122,143,13.493,0.9148,0.9408
123,344,20.928,0.4868,0.8515
124,75,9.772,0.8673,0.974
125,127,12.716,0.4514,0.9203
126,176,14.97,0.6786,0.9072
127,267,18.438,0.4403,0.9435
128,184,15.306,0.6602,0.8976
129,154,14.003,0.7654,0.9333
130,150,13.82,0.4773,0.9554
131,135,13.111,0.7342,0.9184
132,409,22.82,0.5972,0.949
133,96,11.056,0.5585,0.8
134,89,10.645,0.8868,0.9674
135,1053,36.616,0.5596,0.9643
136,91,10.764,0.7849,0.523
137,154,14.003,0.8628,0.9448
138,287,19.116,0.5369,0.9054
139,83,10.28,0.747,0.8058
140,267,18.438,0.6582,0.9303
141,67,9.236,0.6562,0.9054
142,172,14.799,0.6726,0.8821
143,58,8.593,0.7564,0.9667
144,146,13.634,0.7422,0.8639
145,143,13.493,0.6394,0.9286
146,275,18.712,0.6762,0.9615
147,67,9.236,0.5007,0.7701
148,70,9.441,0.9102,0.7
149,200,15.958,0.438,0.9346
150,78,9.966,0.4763,0.8211
151,313,19.963,0.6367,0.9179
152,290,19.216,0.4967,0.9699
153,82,10.218,0.8446,0.7387
154,242,17.553,0.6949,0.7246
155,332,20.56,0.3156,0.8877
156,270,18.541,0.5797,0.9541
157,215,16.545,0.4543,0.9685
158,256,18.054,0.2189,0.9588
159,155,14.048,0.8045,0.9064
160,228,17.038,0.6406,0.9461
161,115,12.101,0.9006,0.8582
162,224,16.888,0.5082,0.9492
163,35,6.676,0.9336,0.7447
164,15,4.37,0.8813,1.0
165,126,12.666,0.7891,0.5943
166,274,18.678,0.7389,0.8536
167,216,16.584,0.9062,0.9515
168,128,12.766,0.5018,0.9014
169,144,13.541,0.4472,0.7385
170,212,16.429,0.5556,0.9381
171,161,14.318,0.7687,0.8474
172,137,13.207,0.5423,0.958
173,97,11.113,0.8216,0.9065
174,231,17.15,0.5549,0.9277
175,134,13.062,0.6834,0.9437
176,48,7.818,0.7522,0.7164
177,125,12.616,0.2481,0.8803
178,118,12.257,0.8454,0.9593
179,313,19.963,0.5157,0.9428
180,167,14.582,0.9194,0.835
181,400,22.568,0.4646,0.9685
182,115,12.101,0.6791,0.8333
183,505,25.357,0.4625,0.9439
184,127,12.716,0.702,0.9071
185,88,10.585,0.1518,0.9462
186,205,16.156,0.6738,0.9193
187,287,19.116,0.4902,0.8671
188,193,15.676,0.9229,0.9461
189,259,18.16,0.37,0.9593
190,161,14.318,0.7061,0.9471
191,101,11.34,0.7578,0.7481
192,56,8.444,0.6705,0.5385
193,60,8.74,0.7451,0.4511
194,69,9.373,0.5844,0.8734
195,377,21.909,0.4519,0.952
196,74,9.707,0.4171,0.6271
197,207,16.235,0.7652,0.9495
