# frothseg.bsd/v1 count=231 d10=9.57 d50=14.63 d90=23.7 d32=21.25 pctSmall=0.03
id,area_px,d_eq_px,ecc,solidity
1,423,23.207,0.3663,0.9484
2,225,16.926,0.6393,0.9698
3,200,15.958,0.7841,0.9479
4,96,11.056,0.705,0.9412
5,451,23.963,0.6389,0.9596
6,61,8.813,0.3648,0.8841
7,449,23.91,0.4932,0.9553
8,185,15.348,0.6344,0.9069
9,156,14.093,0.7688,0.8864
10,90,10.705,0.8556,0.7438
11,48,7.818,0.8235,0.8727
12,123,12.514,0.4651,0.9389
13,467,24.384,0.2613,0.9709
14,119,12.309,0.6729,0.9835
15,418,23.07,0.4473,0.9565
16,150,13.82,0.7537,0.9036
17,180,15.139,0.6779,0.9424
18,198,15.878,0.585,0.9474
19,76,9.837,0.5858,0.7525
20,160,14.273,0.4009,0.9143
21,156,14.093,0.2175,0.7839
22,388,22.226,0.6254,0.9628
23,83,10.28,0.8668,0.9765
24,167,14.582,0.5236,0.8434
25,245,17.662,0.5874,0.928
26,383,22.083,0.6316,0.9551
27,118,12.257,0.9138,0.9593
28,122,12.463,0.6596,0.9385
29,260,18.195,0.2899,0.9489
30,501,25.257,0.3617,0.9579
31,82,10.218,0.7005,0.9111
32,36,6.77,0.8814,0.8571
33,2141,52.211,0.5259,0.9812
34,177,15.012,0.7176,0.8985
35,189,15.513,0.6731,0.9087
36,35,6.676,0.6975,0.5738
37,148,13.727,0.5097,0.9193
38,204,16.116,0.2224,0.8987
39,153,13.957,0.5802,0.7887
40,153,13.957,0.1724,0.9503
41,190,15.554,0.8445,0.8962
42,153,13.957,0.803,0.9217
43,337,20.714,0.7072,0.952
44,70,9.441,0.4582,0.6731
45,59,8.667,0.6718,0.7024
46,358,21.35,0.6232,0.9496
47,225,16.926,0.6586,0.9494
48,126,12.666,0.6052,0.8571
49,100,11.284,0.6001,0.7299
50,84,10.342,0.7256,0.8077
51,202,16.037,0.4627,0.8145
52,241,17.517,0.7045,0.9563
53,460,24.201,0.6086,0.9623
54,446,23.83,0.4486,0.9612
55,85,10.403,0.7419,0.8173
56,800,31.915,0.5375,0.9627
57,241,17.517,0.7123,0.9377
58,164,14.45,0.3127,0.9704
59,168,14.625,0.5244,0.9655
60,353,21.2,0.5169,0.9413
61,141,13.399,0.5136,0.9527
62,215,16.545,0.8338,0.8776
63,200,15.958,0.7139,0.9259
64,564,26.798,0.7029,0.9511
65,89,10.645,0.5423,0.7876
66,408,22.792,0.6509,0.9645
67,72,9.575,0.8965,0.7742
68,116,12.153,0.4355,0.7945
69,172,14.799,0.7763,0.9348
70,389,22.255,0.4666,0.9629
71,77,9.901,0.4473,0.6937
72,247,17.734,0.8127,0.9537
73,561,26.726,0.4733,0.9656
74,174,14.884,0.8158,0.7733
75,155,14.048,0.2803,0.8289
76,146,13.634,0.788,0.8957
77,36,6.77,0.7422,0.9231
78,1513,43.891,0.271,0.9844
79,309,19.835,0.6328,0.9251
80,65,9.097,0.852,0.8228
81,326,20.373,0.6122,0.9395
82,119,12.309,0.9182,0.937
83,184,15.306,0.4445,0.9583
84,195,15.757,0.3968,0.9466
85,233,17.224,0.7802,0.9395
86,100,11.284,0.7057,0.8929
87,92,10.823,0.6102,0.7603
88,249,17.806,0.8969,0.9468
89,260,18.195,0.556,0.9665
90,152,13.912,0.5928,0.9268
91,860,33.091,0.5916,0.9707
92,27,5.863,0.9318,0.8182
93,79,10.029,0.5845,0.8876
94,211,16.391,0.8277,0.9591
95,228,17.038,0.4458,0.9461
96,235,17.298,0.307,0.94
97,147,13.681,0.6364,0.8352
98,117,12.205,0.5024,0.8931
99,129,12.816,0.3818,0.9485
100,175,14.927,0.3866,0.8929
101,377,21.909,0.4162,0.9593
102,441,23.696,0.3943,0.9608
103,341,20.837,0.3815,0.9688
104,742,30.737,0.3046,0.9599
105,50,7.979,0.8817,0.7937
106,101,11.34,0.8252,0.8417
107,124,12.565,0.713,0.8212
108,538,26.173,0.7611,0.9694
109,167,14.582,0.3571,0.9435
110,329,20.467,0.5087,0.9648
111,266,18.403,0.4774,0.9568
112,86,10.464,0.7389,0.9663
113,82,10.218,0.4299,0.9647
114,187,15.43,0.6806,0.959
115,357,21.32,0.3863,0.9469
116,100,11.284,0.5137,0.9346
117,213,16.468,0.4833,0.9383
118,465,24.332,0.2471,0.949
119,454,24.043,0.5863,0.9458
120,43,7.399,0.6661,0.8113
121,408,22.792,0.6474,0.9294
122,540,26.221,0.5069,0.9541
123,363,21.499,0.619,0.9528
124,101,11.34,0.7837,0.6779
125,120,12.361,0.6058,0.9375
126,75,9.772,0.8084,0.7212
127,113,11.995,0.6321,0.9417
128,304,19.674,0.5508,0.959
129,604,27.732,0.5184,0.9773
130,64,9.027,0.8139,0.8101
131,81,10.155,0.6608,0.9101
132,188,15.472,0.6221,0.9353
133,222,16.812,0.4388,0.9694
134,171,14.755,0.7765,0.8953
135,87,10.525,0.6272,0.9255
136,352,21.17,0.4581,0.9143
137,306,19.739,0.6102,0.8718
138,127,12.716,0.4929,0.7341
139,57,8.519,0.8236,0.8143
140,189,15.513,0.6299,0.9087
141,80,10.093,0.8753,0.9091
142,288,19.149,0.5558,0.9172
143,456,24.096,0.3394,0.9461
144,138,13.255,0.0929,0.8846
145,189,15.513,0.4063,0.922
146,113,11.995,0.8936,0.9417
147,431,23.426,0.7537,0.9863
148,95,10.998,0.8666,0.9048
149,361,21.439,0.3998,0.9576
150,221,16.775,0.5384,0.9364
151,94,10.94,0.2073,0.9691
152,279,18.848,0.7321,0.9688
153,141,13.399,0.4849,0.6157
154,171,14.755,0.6033,0.9293
155,204,16.116,0.4171,0.9623
156,96,11.056,0.323,0.9505
157,319,20.153,0.6433,0.941
158,261,18.23,0.5319,0.9667
159,137,13.207,0.4926,0.9384
160,153,13.957,0.5877,0.9162
161,283,18.982,0.544,0.9593
162,94,10.94,0.8302,0.8545
163,379,21.967,0.5568,0.9619
164,148,13.727,0.4354,0.925
165,375,21.851,0.5182,0.9665
166,124,12.565,0.822,0.9841
167,52,8.137,0.1963,0.9455
168,64,9.027,0.3987,0.8101
169,183,15.264,0.5223,0.9242
170,98,11.17,0.8075,0.8909
171,65,9.097,0.4438,0.8904
172,321,20.217,0.5486,0.9441
173,310,19.867,0.7857,0.9748
174,234,17.261,0.7774,0.8931
175,195,15.757,0.3098,0.9512
176,63,8.956,0.6066,0.7875
177,215,16.545,0.3028,0.943
178,80,10.093,0.4185,0.9524
179,88,10.585,0.4511,0.5789
180,105,11.562,0.5821,0.9722
181,137,13.207,0.8529,0.9257
182,193,15.676,0.6423,0.9324
183,100,11.284,0.8883,0.9259
184,84,10.342,0.7288,0.8485
185,176,14.97,0.7693,0.9565
186,558,26.655,0.6257,0.9789
187,42,7.313,0.7858,0.4667
188,139,13.303,0.4053,0.8797
189,142,13.446,0.7877,0.9404
190,38,6.956,0.9097,0.6552
191,548,26.415,0.4616,0.953
192,74,9.707,0.7352,0.6789
193,13,4.068,0.9809,0.7222
194,80,10.093,0.904,0.8989
195,96,11.056,0.8984,0.9897
196,194,15.717,0.4417,0.894
197,8,3.192,0.9528,0.8889
198,355,21.26,0.548,0.9543
199,134,13.062,0.7066,0.9241
200,181,15.181,0.7193,0.933
201,109,11.781,0.4802,0.8134
202,560,26.702,0.2798,0.9655
203,57,8.519,0.8471,0.76
204,150,13.82,0.6542,0.9317
205,121,12.412,0.366,0.6798
206,107,11.672,0.4887,0.9469
207,106,11.617,0.5109,0.876
208,258,18.124,0.6804,0.9663
209,159,14.228,0.5446,0.9244
210,301,19.577,0.3651,0.9406
211,193,15.676,0.6174,0.9324
212,122,12.463,0.6672,0.8971
213,242,17.553,0.627,0.9416
214,128,12.766,0.4976,0.9209
215,106,11.617,0.7503,0.8908
216,224,16.888,0.643,0.9218
217,166,14.538,0.4493,0.8426
218,147,13.681,0.6803,0.8855
219,130,12.866,0.4724,0.9774
220,291,19.249,0.608,0.9572
221,166,14.538,0.8205,0.9595
222,305,19.706,0.5042,0.9132
223,537,26.148,0.4368,0.9641
224,347,21.019,0.3552,0.9455
225,75,9.772,0.8264,0.8721
226,110,11.835,0.5786,0.7692
227,205,16.156,0.5057,0.9535
228,352,21.17,0.5277,0.9514
229,161,14.318,0.6074,0.9096
230,188,15.472,0.5758,0.9082
231,47,7.736,0.8055,0.8868
