epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,85.863,3.84017,5.50186,3.6061,1.80004,0,0.00959,0.00382,5e-05,3e-05,0.01283,0.00511,7e-05,3e-05,2.42025,4.27946,3.55903,1.28555,0,0.000611111,0.000611111,0.000611111
2,154.358,2.68099,4.68312,3.45621,1.32342,0,0.09737,0.04587,0.01055,0.00384,0.0901,0.04245,0.0093,0.00285,1.74825,7.94128,3.42144,1.2085,0,0.00121453,0.00121453,0.00121453
3,231.835,2.17161,3.81855,3.11667,1.10661,0,0.16312,0.12426,0.0282,0.00858,0.14255,0.10859,0.01888,0.00512,nan,nan,nan,nan,0,0.00175194,0.00175194,0.00175194
4,303.563,2.19336,3.4761,2.85909,1.06536,0,0.11823,0.1215,0.02517,0.00725,0.09889,0.10163,0.01537,0.00369,nan,nan,nan,nan,0,0.001703,0.001703,0.001703
5,377.525,2.30739,3.24502,2.61651,1.03503,0,0.17958,0.1936,0.04771,0.01782,0.14,0.15093,0.03262,0.01062,2.4972,7.11256,3.1158,1.19881,0,0.001604,0.001604,0.001604
6,451.057,2.34454,3.0125,2.3831,1.00207,0,0.02312,0.02369,0.00065,0.00015,0.01786,0.0183,0.00029,8e-05,nan,nan,nan,nan,0,0.001505,0.001505,0.001505
7,529.343,2.41177,2.97265,2.20533,0.9818,0,0.15052,0.16227,0.04702,0.01692,0.13073,0.14093,0.03977,0.01229,2.99783,7.56321,2.68693,1.438,0,0.001406,0.001406,0.001406
8,625.473,2.41731,2.91597,2.07567,0.96565,0,0.34846,0.37243,0.22772,0.07859,0.28868,0.30853,0.18374,0.06022,2.47799,4.54586,2.31768,1.02083,0,0.001307,0.001307,0.001307
9,705.066,2.35476,2.77325,1.92531,0.94811,0,0.26322,0.28349,0.19612,0.07325,0.21239,0.22875,0.14606,0.04551,2.75341,6.07029,2.11144,1.14975,0,0.001208,0.001208,0.001208
10,781.766,2.38723,2.68842,1.80784,0.93302,0,0.58765,0.41421,0.36219,0.14429,0.55655,0.32431,0.27894,0.104,2.3239,3.27076,1.58127,0.94951,0,0.001109,0.001109,0.001109
11,819.434,2.2945,2.56952,1.43818,0.92384,0,0.75165,0.45423,0.44325,0.1934,0.68199,0.41106,0.37198,0.1357,2.20489,2.63735,1.06344,0.91142,0,0.00101,0.00101,0.00101
12,854.999,2.18557,2.45762,1.35099,0.91082,0,0.78783,0.46137,0.46107,0.20912,0.70731,0.41364,0.37943,0.14679,2.12515,2.65465,0.99588,0.90439,0,0.000911,0.000911,0.000911
13,892.943,2.19197,2.42626,1.29863,0.90607,0,0.80407,0.47496,0.476,0.22078,0.73249,0.43155,0.40991,0.155,2.11548,2.47585,0.9429,0.89666,0,0.000812,0.000812,0.000812
14,925.409,2.12028,2.35679,1.23317,0.89764,0,0.8124,0.49624,0.49187,0.22776,0.73232,0.44563,0.41271,0.1623,2.04844,2.37945,0.87806,0.89208,0,0.000713,0.000713,0.000713
15,960.472,2.1024,2.28265,1.15322,0.89849,0,0.83531,0.48709,0.4954,0.23553,0.73908,0.42931,0.40381,0.15427,2.0199,2.35717,0.93226,0.88862,0,0.000614,0.000614,0.000614
16,994.816,2.02714,2.20665,1.12255,0.89263,0,0.85236,0.49506,0.51038,0.24951,0.70764,0.41101,0.37605,0.13929,1.98652,2.35362,0.91671,0.88528,0,0.000515,0.000515,0.000515
17,1025.71,2.07687,2.25677,1.06554,0.88623,0,0.84846,0.50612,0.51332,0.24948,0.7579,0.45272,0.42749,0.17347,1.97118,2.27109,0.87577,0.88521,0,0.000416,0.000416,0.000416
18,1062.66,2.05409,2.29197,1.1079,0.89078,0,0.86004,0.51325,0.52504,0.26247,0.74382,0.44469,0.41739,0.16687,1.92041,2.22662,0.85388,0.88293,0,0.000317,0.000317,0.000317
19,1093.23,2.03562,2.24539,1.04019,0.88336,0,0.86221,0.5137,0.52656,0.26612,0.74535,0.44453,0.41807,0.16335,1.91057,2.23171,0.86172,0.88095,0,0.000218,0.000218,0.000218
20,1123.56,2.02477,2.2125,1.0274,0.88488,0,0.86844,0.50999,0.52643,0.26574,0.74825,0.43942,0.41657,0.16237,1.90703,2.21094,0.89436,0.87976,0,0.000119,0.000119,0.000119
